Currency,CurrencyName,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Difference,Change%,LogClosingPrice
ADA,Cardano,11/11/2018,0.075410755,0.074801331,0.077219815,0.074058939,0.000260284,0.00345155,-1.122566711
ADA,Cardano,11/12/2018,0.075933489,0.076292955,0.076917708,0.07473585,0.000522734,0.006884104,-1.119566645
ADA,Cardano,11/13/2018,0.072564617,0.075934398,0.075970767,0.072478181,-0.003368872,-0.046425822,-1.139275093
ADA,Cardano,11/14/2018,0.061886438,0.072560007,0.074247031,0.060091129,-0.010678179,-0.172544734,-1.208404513
ADA,Cardano,11/15/2018,0.061560486,0.06181578,0.063854899,0.0562197,-0.000325952,-0.005294825,-1.21069796
ADA,Cardano,11/16/2018,0.059461152,0.06256318,0.063162392,0.05915732,-0.002099334,-0.035305976,-1.225766681
ADA,Cardano,11/17/2018,0.060194542,0.060236169,0.060424571,0.058780189,0.00073339,0.012183663,-1.220442886
ADA,Cardano,11/18/2018,0.060863068,0.060151868,0.062344553,0.06009244,0.000668526,0.0109841,-1.215646159
ADA,Cardano,11/19/2018,0.051372235,0.060862928,0.061972537,0.050633943,-0.009490833,-0.184746352,-1.289271539
ADA,Cardano,11/20/2018,0.04293625,0.051566439,0.052378033,0.041492352,-0.008435985,-0.196476986,-1.367175889
ADA,Cardano,11/21/2018,0.046667375,0.044256876,0.048092509,0.042276552,0.003731125,0.079951465,-1.330986627
ADA,Cardano,11/22/2018,0.045484202,0.04664406,0.048156145,0.044839249,-0.001183173,-0.026012834,-1.34213942
ADA,Cardano,11/23/2018,0.04315569,0.045483356,0.045582181,0.041020925,-0.002328512,-0.053956083,-1.364961935
ADA,Cardano,11/24/2018,0.036560815,0.043154654,0.044147587,0.03590933,-0.006594875,-0.180380963,-1.436984132
ADA,Cardano,11/25/2018,0.037180505,0.037714496,0.03852769,0.031669941,0.00061969,0.016667068,-1.429684716
ADA,Cardano,11/26/2018,0.034366764,0.037194295,0.03907025,0.033111009,-0.002813741,-0.0818739,-1.463861359
ADA,Cardano,11/27/2018,0.036529022,0.034366956,0.036803203,0.033234836,0.002162258,0.05919288,-1.437361955
